"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.GenBm.generateBoolListBespoke10","avgt",1,5,3930.571100,186.548256,"ns/op"
"benchmark.GenBm.generateBoolListBespoke100","avgt",1,5,36658.923469,4572.406444,"ns/op"
"benchmark.GenBm.generateBoolListBespoke1000","avgt",1,5,377628.555057,32582.862184,"ns/op"
"benchmark.GenBm.generateBoolListBespoke10000","avgt",1,5,3685915.853015,234868.320332,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged10","avgt",1,5,581.248589,23.849891,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged100","avgt",1,5,4633.973332,225.217977,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged1000","avgt",1,5,45563.904292,2332.545559,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged10000","avgt",1,5,453882.500788,21071.043548,"ns/op"
"benchmark.GenBm.generateBstBespoke10","avgt",1,5,3588.411490,229.601346,"ns/op"
"benchmark.GenBm.generateBstBespoke100","avgt",1,5,31406.965940,341.645014,"ns/op"
"benchmark.GenBm.generateBstBespoke1000","avgt",1,5,258502.641888,13493.722159,"ns/op"
"benchmark.GenBm.generateBstBespoke10000","avgt",1,5,3565786.500954,196593.213506,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged10","avgt",1,5,726.263366,43.895596,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged100","avgt",1,5,5465.257469,97.557455,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged1000","avgt",1,5,43282.267981,10021.949948,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged10000","avgt",1,5,557150.544857,35653.745821,"ns/op"
"benchmark.GenBm.generateBstType10","avgt",1,5,4651.181970,364.227656,"ns/op"
"benchmark.GenBm.generateBstType100","avgt",1,5,44821.009819,3803.876875,"ns/op"
"benchmark.GenBm.generateBstType1000","avgt",1,5,468625.446550,128847.933790,"ns/op"
"benchmark.GenBm.generateBstType10000","avgt",1,5,4553499.403650,11072179.657928,"ns/op"
"benchmark.GenBm.generateBstTypeStaged10","avgt",1,5,833.522750,44.983438,"ns/op"
"benchmark.GenBm.generateBstTypeStaged100","avgt",1,5,6973.337807,391.700592,"ns/op"
"benchmark.GenBm.generateBstTypeStaged1000","avgt",1,5,70590.528861,19406.021916,"ns/op"
"benchmark.GenBm.generateBstTypeStaged10000","avgt",1,5,1006221.041601,2899080.452947,"ns/op"
"benchmark.GenBm.generateRbtType10","avgt",1,5,5998.431086,83.521007,"ns/op"
"benchmark.GenBm.generateRbtType100","avgt",1,5,58643.659940,4279.587354,"ns/op"
"benchmark.GenBm.generateRbtType1000","avgt",1,5,664323.767749,863034.541822,"ns/op"
"benchmark.GenBm.generateRbtType10000","avgt",1,5,19596590.544151,116047269.270584,"ns/op"
"benchmark.GenBm.generateRbtTypeStaged10","avgt",1,5,1005.887850,56.516485,"ns/op"
"benchmark.GenBm.generateRbtTypeStaged100","avgt",1,5,8799.394858,440.244344,"ns/op"
"benchmark.GenBm.generateRbtTypeStaged1000","avgt",1,5,87342.311347,16119.399316,"ns/op"
"benchmark.GenBm.generateRbtTypeStaged10000","avgt",1,5,1127908.124068,3098696.354165,"ns/op"
"benchmark.GenBm.generateTerm10","avgt",1,5,5266.601925,384.555472,"ns/op"
"benchmark.GenBm.generateTerm100","avgt",1,5,43917.205661,2275.093743,"ns/op"
"benchmark.GenBm.generateTerm1000","avgt",1,5,343402.021443,98316.415289,"ns/op"
"benchmark.GenBm.generateTerm10000","avgt",1,5,5184964.475969,817016.228034,"ns/op"
"benchmark.GenBm.generateTermStaged10","avgt",1,5,928.400577,50.465452,"ns/op"
"benchmark.GenBm.generateTermStaged100","avgt",1,5,7101.447721,507.466338,"ns/op"
"benchmark.GenBm.generateTermStaged1000","avgt",1,5,44023.711611,2217.061196,"ns/op"
"benchmark.GenBm.generateTermStaged10000","avgt",1,5,521442.672882,25421.186428,"ns/op"
